ipy.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,12376,12376
ipy.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,885,9554
ipy.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,19701,20828
ipy.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,902,9474
ipy.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,9588,18384
lcscbench.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,236555,433712
lcscbench.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,138708,274018
lcscbench.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,240717,444120
lcscbench.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,142473,277275
lcscbench.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,251369,437081
lcscbench.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,187170,348185
lcscbench.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,265696,443562
lcscbench.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,213441,356235
lists.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,1561,1561
lists.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,1547,1547
lists.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,1439,2462
lists.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,1461,2251
mandelbrot.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,214,314
mandelbrot.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,186,304
n-body.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,161,295
n-body.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,251,265
objinst.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,126,378
objinst.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,127,341
objinst.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,124,391
objinst.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,167,168
objinst.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,125,333
objinst.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,129,158
perimeter.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,137139,282470
